Long,Lat
-45.93511961788563,-14.855222182236169
-43.395704355605,-13.191529359791915
-45.533269287743146,-14.822387646749632
-45.53073546876293,-14.810114152620265
-45.53795057602495,-14.798353522044124
-44.25618117361745,-11.781042936442788
-44.42186088791979,-14.268752425767266
-44.400365604383154,-14.26629275134718
-44.42511543773871,-14.26793780269553
-44.422549225952025,-14.26485878633741
-44.315418168310416,-14.246866162248836
-44.09405282990548,-14.276036818108697
-44.28911318393027,-14.254874210858238
-44.29425306685907,-14.252610991129446
-45.950476549966254,-13.666324329736074
-45.70338834105337,-13.670284736071743
-45.68685073966829,-13.681282180149251
-45.70364672477608,-13.686049602641864
-46.00212525475989,-13.762134897058644
-45.988774273005724,-13.79403120964976
-45.98498955772314,-13.80443032144182
-45.99321020943111,-13.78374370563191
-45.979147971355125,-13.814356238589081
-46.00794190047415,-13.779086779525628
-45.974891137806935,-13.824775263762266
-45.9713200259398,-13.835430063736975
-45.68782630406622,-13.664663906567203
-45.965263647205006,-13.8454404549786
-46.01143769817633,-13.769643763719412
-46.14105185056848,-13.97059558309854
-45.99770855588433,-13.772668078186967
-45.20531760925425,-14.238910809921801
-45.216335294951705,-14.172361187038364
-45.455382814178286,-14.468304076469927
-45.463459834455975,-14.47691404055398
-45.4486368640231,-14.46617191901691
-45.4473259015752,-14.460334816719302
-45.45661435554193,-14.474364497595435
-45.701595928377216,-14.417707193392932
-45.70953362724413,-14.424986655179598
-45.70746244907087,-14.404731747746201
-45.71470067053204,-14.415033406804579
-45.19327475752087,-14.231811482713479
-46.12793253241043,-13.97042385667921
-45.415985357785324,-14.28008893166226
-45.758032803279036,-14.309847754877694
-45.419754408012594,-14.256174497080195
-45.44353368567471,-14.249893656113619
-45.44289434901351,-14.261838599350309
-45.42954611969894,-14.265004394664931
-45.21640220395149,-14.244029016355256
-45.46558431247267,-14.266949851290704
-45.432082740895886,-14.253472646322056
-45.45063609530327,-14.275872154224741
-45.437491426144774,-14.284647856861643
-45.4331605752012,-14.307765040618046
-45.47115344396367,-14.288812057578486
-45.48186253121726,-14.281462588083901
-45.47659445710573,-14.27164068375482
-45.456084846830166,-14.304323031075516
-45.46119744078746,-14.294527415394237
-45.44630657392746,-14.29881471592556
-45.493744299939564,-14.279710138723846
-45.46492433930091,-14.279547523991859
-45.45090769449891,-14.288424624753585
-45.42805089026526,-14.27695299399863
-45.43622851286696,-14.296507014078628
-45.440674393118144,-14.273197323118186
-45.50451748125312,-14.28769433553147
-45.493026665660786,-14.290963166269297
-45.465023879064674,-14.309101471965057
-45.47540360674438,-14.314481686410797
-45.514959927628595,-14.29524025978722
-45.49146887395189,-14.309095038167388
-45.48021527347149,-14.304696534981108
-45.48349979483095,-14.319591319760253
-45.49129703720982,-14.339889786993592
-45.478688270325634,-14.330874629936247
-45.50443138784813,-14.298684153202784
-45.470136250388386,-14.299597318787534
-45.48078425965528,-14.294056375455902
-45.494725571365365,-14.328748378115332
-45.45293485417533,-14.26515631752925
-45.49917271474821,-14.31816698551188
-45.509497254627234,-14.320353430713865
-45.50051805409313,-14.33729415134542
-45.511068670170836,-14.33226966174233
-45.53588002898556,-14.317011281718855
-45.54286442926518,-14.32565280759193
-45.55377657701301,-14.330186830170454
-45.555284520965685,-14.341791077320497
-45.523624400438756,-14.333651449325068
-45.5098071763334,-14.34441703460185
-45.49949205546302,-14.348681460658044
-45.53601721899971,-14.334414407618915
-45.531442782374114,-14.344684459611942
-45.51784147955048,-14.365546019504635
-45.520955271071216,-14.34420216419019
-45.50733182948781,-14.356833577067878
-45.54335738487208,-14.344730498456682
-45.52231423097693,-14.354893787681188
-45.52691211477628,-14.309794683209656
-45.53756006353383,-14.354641282263842
-45.52501006126971,-14.32243897461036
-45.55004143323816,-14.353794219914278
-45.520494714356026,-14.376554587633475
-45.532085534587765,-14.37464216175185
-45.53982504535717,-14.383741889949707
-45.53493720227057,-14.39391742614135
-45.55558254108776,-14.369764376942697
-45.54506710048642,-14.366143694805821
-45.52607569298128,-14.385747715968014
-45.553650687223325,-14.380741176936755
-45.52985984737614,-14.363416144568928
-45.54879636240819,-14.39028797188362
-45.55473445357228,-14.399039151611209
-45.515858572278546,-14.3089647564471
-45.56395805554634,-14.349937672776417
-45.559858689538586,-14.36163293271917
-45.56998971939683,-14.35613680971995
-45.5872126804575,-14.369581124071233
-45.579857849358646,-14.386441478247288
-45.5902345215358,-14.38150416862121
-45.589865328595025,-14.392677826852548
-45.57968716593601,-14.398521014364698
-45.57015868833656,-14.392568375195996
-45.566178433091295,-14.369848178581039
-45.56912415765679,-14.404830300467452
-45.58018332519269,-14.410063721545665
-45.56799052247047,-14.381921768436195
-45.57278612293203,-14.419576138515655
-45.578642196806356,-14.375407161532685
-45.539240815353125,-14.279688734543276
-45.57764618179178,-14.363528441442224
-45.5413589584846,-14.286472652819263
-45.42444583758746,-14.230200579075174
-45.44433967642685,-14.187928108445611
-45.546534222060274,-14.281153385689596
-45.562489395035016,-14.42067043737583
-45.77636547829641,-14.575131792128573
-45.79006791679521,-14.562863066913678
-45.787662109384534,-14.58736495618875
-45.7828880313988,-14.581397189737288
-45.80200112225684,-14.57943330202554
-45.79394024997792,-14.594168134792834
-45.7707006897533,-14.599493806174687
-45.76198144161777,-14.600844823222921
-45.76732985191657,-14.606966468242412
-45.77617131626873,-14.606196228729148
-45.75871269073983,-14.593275643813953
-45.77237658404695,-14.61352303978637
-45.56076472002719,-14.389492690521276
-45.80503028375322,-14.587282600777472
-45.78112097919323,-14.554993114967214
-45.541145747477536,-14.842279662387842
-45.551943738031724,-14.845397963486862
-45.52830272817644,-14.850806152630128
-45.41780493358109,-14.268211672710969
-45.51734696782585,-14.858635983839616
-45.52784682818268,-14.86616054894179
-45.5180788489473,-14.87243015040809
-45.505987369992695,-14.865448636595737
-45.514300199580134,-14.762990299590047
-45.502373950767485,-14.756003284277087
-45.52842435828329,-14.758353376133797
-45.558982657046,-14.83448668474988
-45.54103372333678,-14.81794924137122
-45.547918635674826,-14.829763400686668
-45.55867122099622,-14.821860849407635
-45.509813501921215,-14.775453247856454
-45.57090664562963,-14.831132836074609
-45.51553914386828,-14.84613908982557
-45.57228815966933,-14.821408714903033
-45.523195999461706,-14.77128496882395
-45.5358359618999,-14.857632987838745
-45.54724121479897,-14.806558393120893
-45.57394315922295,-14.809611346951929
-45.54496577717758,-14.852951775241156
-45.573868649122616,-14.798301032532194
-45.56305144382959,-14.809843759304076
-45.548556355889005,-14.794076122121822
-45.561699709128696,-14.79717470073436
-45.53829058507647,-14.778931829396306
-45.568217859134776,-14.785419107216278
-45.55104422066667,-14.781517735397031
-45.58097226996401,-14.788238675018043
-45.541022440161626,-14.766410054072175
-45.57063937262025,-14.771744137444113
-45.557659619082415,-14.76834241252866
-45.545781159267406,-14.756256609803104
-45.53727805981458,-14.791476143105681
-45.5509342636265,-14.745095903705298
-45.55487533128188,-14.733476657058368
-45.519575568423235,-14.746168135246847
-45.53148198048992,-14.7461571566704
-45.50519183367784,-14.742424781345669
-45.51358193412596,-14.730938160178248
-45.53016250804005,-14.723899787630009
-45.56498038055548,-14.737173551832537
-45.602238833172166,-14.80256741142212
-45.5914837179696,-14.799780985336557
-45.61010390955781,-14.794334357248974
-45.597219510726305,-14.791639644263684
-45.65961035929223,-14.761394252708481
-45.542434797669635,-14.721916195733403
-45.53793049498955,-14.734538325194343
-45.66801642074751,-14.768013304535705
-45.52425017094521,-14.73461437378464
-45.57061172585381,-14.760038921742291
-45.89976156566277,-12.164669794738863
-45.558307846166684,-14.755357870931586
-45.8671940304952,-12.157409654373492
-45.85612574464403,-12.15346097585277
-45.85808376329559,-12.162648012275168
-45.79614534018083,-12.134358982375845
-45.80697048621849,-12.1330676428094
-45.78558250726633,-12.135701054063324
-45.80827904809993,-12.14302350810841
-45.82801981772505,-12.149246214201431
-45.78731058881754,-12.145703677574817
-45.801951882047966,-12.143390659135257
-45.78913776929185,-12.156203898844582
-45.81010482506635,-12.153372044029336
-45.77913847461106,-12.15322980809357
-45.799894300051776,-12.155118125446588
-45.77643938505442,-12.14272948325554
-45.696313608292485,-12.142828663941119
-45.696157146251124,-12.195732309541452
-45.737462686651796,-12.1461467396988
-45.7375140521644,-12.15993895484718
-45.7490201736195,-12.153500627154074
-45.40493439780259,-12.231842653498074
-45.78016419165428,-12.163506882553325
-45.845131566243225,-12.151141378241146
-45.893234282714744,-12.172765638566224
-45.38364196625092,-12.28568634677834
-45.40413867577441,-12.291867179405223
-45.391169843429864,-12.294278163440334
-45.40436060520767,-12.30401420282568
-45.394016360921306,-12.305312489587031
-45.35417638965279,-12.269164716739098
-45.35305947184952,-12.279547318351305
-45.539329362426216,-12.161295518585337
-45.54664053863941,-12.165939862555284
-45.53546901151038,-12.18584088046796
-45.3789272036732,-12.307570411464711
-45.38215489274756,-12.296225172447267
-45.39430102217801,-12.282945865990058
-45.40568775964662,-12.281073314405518
-45.5514324062324,-12.177290592013
-45.55469084811334,-12.168487887818673
-45.52228814753659,-12.171825111627951
-45.54708835628237,-12.185990283658704
-45.52542510450206,-12.191780211347957
-45.53477902657413,-12.196184853609779
-45.51526143637295,-12.190464559281853
-45.52373556235452,-12.182071945452297
-45.51990071902594,-12.199965494184687
-45.528357565967625,-12.204669474459909
-45.50841351229107,-12.19893082191468
-45.514091974381856,-12.208536210854536
-45.49847187116765,-12.1958659405859
-45.50455343857202,-12.187158934323172
-45.518851680482065,-12.215843360666858
-45.51431175343986,-12.179948008830252
-45.53155347015527,-12.174684429933016
-45.89058702461246,-12.163659745298046
-45.5398640936027,-12.17000059663029
-45.4865162420016,-12.210910187379163
-45.48456989870733,-12.18480310895438
-45.476834118807886,-12.19439645047923
-45.48934811134703,-12.174024462828314
-45.61434630016661,-12.168920503567355
-45.5891229946828,-12.182397278238545
-45.58797732245195,-12.230897177798148
-45.590039466522896,-12.219603586118883
-45.58107055659528,-12.216380410531395
-45.59221941792606,-12.209289303406397
-45.36316371747741,-12.223118199710745
-45.349095456580486,-12.226661760982832
-45.58331140421827,-12.206339650972009
-45.5767318630911,-12.226545854227032
-45.58553839716707,-12.196917215194816
-45.61321167773788,-12.181552500122697
-45.47875721654617,-12.216389504336211
-45.43129913009537,-12.284730052776524
-45.42949939093293,-12.294383679916724
-45.97636575332376,-12.177528512412035
-45.96764983672354,-12.17855829601768
-45.43955114369432,-12.287096975680853
-45.97073654185023,-12.186756764423485
-45.933103806360464,-12.185221847133334
-45.94006250631834,-12.199451365139133
-45.97870220379678,-12.186043699816373
-45.930320020435204,-12.197853614501716
-45.94851134448328,-12.185793881832844
-45.50011347042967,-12.267491111364656
-45.51027711486363,-12.267438285527938
-45.489002218061444,-12.267609956739985
-45.517783818678694,-12.27651827893083
-45.497183818152294,-12.277780233831736
-45.47783733632866,-12.268439544169542
-45.48340203181387,-12.278344655402396
-45.50750819273708,-12.277727709061498
-45.531442762289096,-12.282728148832156
-45.47507160993696,-12.284572807532669
-45.50956356996167,-12.287991539527383
-45.48809552084293,-12.288104911622241
-45.47554897977007,-12.295252900039747
-45.48637553207568,-12.298361153604969
-45.499456273599066,-12.301664467320837
-45.50136128748681,-12.287428861441558
-45.52224107126719,-12.297220157616486
-45.51174873256925,-12.298834997564567
-45.533185606203695,-12.294402315756244
-45.52018600275236,-12.286747789176651
-45.44282277836792,-12.277663578855133
-45.82863284053278,-12.11396489975925
-45.43990048499271,-12.268413529506047
